影像号,读者,split,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-BB361E6F33,R1,A,8518,0,0,0.0,0.0,-3.2794110774993896,7.95589017868042
IMG-2EBA49844B,R1,B,15219,0,0,0.0,0.0,-4.181917190551758,8.524258613586426
IMG-A301495109,R1,B,7259,0,0,0.0,0.0,-3.9435746669769287,5.0294904708862305
IMG-29CE8C38A1,R1,A,16660,0,0,0.0,0.0,-2.001711845397949,4.572622299194336
IMG-36EEC399FC,R1,A,5753,0,0,0.0,0.0,-2.888645648956299,5.6879072189331055
IMG-E740D52D51,R1,A,31051,0,0,0.0,0.0,-3.8781700134277344,8.22311019897461
IMG-EFFAAC8239,R1,A,276,0,0,0.0,0.0,-2.8588597774505615,3.139648914337158
IMG-484D861783,R1,A,6796,0,0,0.0,0.0,-3.1368846893310547,6.851928234100342
IMG-D032350B9E,R1,A,2423,0,0,0.0,0.0,-2.4575681686401367,5.103033065795898
IMG-D1D5842957,R1,B,2364,0,0,0.0,0.0,-3.0619726181030273,4.347718715667725
IMG-590C82EC78,R1,A,1725,0,0,0.0,0.0,-2.982180118560791,4.823461532592773
IMG-1D343A7BA2,R1,A,7936,0,0,0.0,0.0,-3.2359061241149902,6.298956871032715
IMG-A83F2A8C19,R1,A,7663,0,0,0.0,0.0,-2.916501998901367,6.848097801208496
IMG-AD61D63F8E,R1,A,25188,0,0,0.0,0.0,-3.438633441925049,7.104423522949219
IMG-8FCEE43A85,R1,B,1016,0,0,0.0,0.0,-2.558475971221924,5.288327217102051
IMG-A2468C96C1,R1,B,3532,0,0,0.0,0.0,-5.001955509185791,3.890406847000122
IMG-1DA75142BB,R1,A,4328,0,0,0.0,0.0,-2.3647563457489014,5.1577067375183105
IMG-AC72589A50,R1,A,13008,0,0,0.0,0.0,-2.6574978828430176,5.169717788696289
IMG-B1528A6D99,R1,A,5930,0,0,0.0,0.0,-3.390207529067993,6.347011566162109
IMG-1764C2BF64,R1,B,2273,0,0,0.0,0.0,-3.2514259815216064,4.927319526672363
IMG-4E9691F81E,R1,A,11318,0,0,0.0,0.0,-3.586634397506714,5.992515563964844
IMG-6EE77F37E5,R1,B,5747,0,0,0.0,0.0,-4.728748798370361,5.321502685546875
IMG-ECE007F92E,R1,A,17347,0,0,0.0,0.0,-3.096562623977661,5.635848045349121
IMG-E4848F18F3,R1,A,26183,0,0,0.0,0.0,-2.291318655014038,3.656757116317749
IMG-3308024D3D,R1,A,17556,0,0,0.0,0.0,-2.2916858196258545,4.743858814239502
IMG-747FB60C60,R1,B,6630,0,0,0.0,0.0,-3.340487003326416,2.916391372680664
IMG-A8EB341591,R1,A,41461,0,0,0.0,0.0,-3.6626625061035156,7.512354373931885
IMG-D4F62F739A,R1,B,6839,0,0,0.0,0.0,-2.861546516418457,5.431234359741211
IMG-5510E43A20,R1,A,6744,0,0,0.0,0.0,-3.274158477783203,6.548119068145752
IMG-59F1C27615,R1,A,4671,0,0,0.0,0.0,-2.9681448936462402,8.670111656188965
IMG-467A11749B,R1,A,758,0,0,0.0,0.0,-2.3977651596069336,5.307517051696777
IMG-510371DDF5,R1,A,6170,0,0,0.0,0.0,-2.8804774284362793,5.906666278839111
IMG-4A07EA39CE,R1,B,2718,0,0,0.0,0.0,-2.82161021232605,6.8412251472473145
IMG-36AC375F9E,R1,A,3353,0,0,0.0,0.0,-3.0294792652130127,4.24335241317749
IMG-316818AB3A,R1,A,6752,0,0,0.0,0.0,-3.0271379947662354,5.172984600067139
IMG-455B78B730,R1,A,5860,0,0,0.0,0.0,-2.9043493270874023,4.414263725280762
IMG-1C0B040D5F,R1,B,33379,0,0,0.0,0.0,-4.463160514831543,6.6458563804626465
IMG-0B0367AA20,R1,B,1490,0,0,0.0,0.0,-3.4344496726989746,3.4013144969940186
IMG-528C6CF610,R1,A,5744,0,0,0.0,0.0,-2.755866765975952,8.753642082214355
IMG-E0F62AB36F,R1,B,2559,0,0,0.0,0.0,-2.5703001022338867,5.833388805389404
IMG-E968058CF3,R1,A,6543,0,0,0.0,0.0,-3.4860472679138184,7.320610046386719
IMG-0A611FB1F6,R1,A,7244,0,0,0.0,0.0,-3.1971802711486816,6.430798053741455
IMG-6EF7AC9635,R1,A,9631,0,0,0.0,0.0,-3.42510724067688,4.543676376342773
IMG-753DDA4F42,R1,A,2232,0,0,0.0,0.0,-2.9498956203460693,3.2335586547851562
IMG-D40E6756F5,R1,A,2799,0,0,0.0,0.0,-3.462817668914795,5.021624565124512
IMG-D1AAD39E93,R1,A,10973,0,0,0.0,0.0,-4.015475749969482,6.431472301483154
IMG-0DE717A45F,R1,B,1948,0,0,0.0,0.0,-3.1181800365448,7.031689167022705
IMG-E67FBBCB28,R1,B,3900,0,0,0.0,0.0,-2.71455717086792,4.93322229385376
IMG-F1F4C7746A,R1,B,6201,0,0,0.0,0.0,-3.213063955307007,6.552925109863281
IMG-ABBB6E83CB,R1,A,5430,0,0,0.0,0.0,-3.2291128635406494,6.683815002441406
IMG-DCBE1524E9,R1,A,2525,0,0,0.0,0.0,-2.9444546699523926,4.996808052062988
IMG-6427C96710,R1,A,17097,0,0,0.0,0.0,-3.29990553855896,4.538905143737793
IMG-C43C8E321C,R1,A,16889,0,0,0.0,0.0,-3.2795567512512207,6.305967330932617
